,Id,Birth
0,3129,1961
1,2880,1962
2,2,1951
3,13,1947
4,31,1956
5,1979,1959
6,40,1915
7,47,1965
8,49,1967
9,62,1955
10,74,1902
11,98,1979
12,85,1963
13,139,1970
14,134,1967
15,176,1973
16,8349,1940
17,190,1930
18,198,1957
19,206,1962
20,258,1978
21,110,1958
22,245,1936
23,101,1975
24,325,1972
25,378,1947
26,73421,1974
27,448,1974
28,478,1986
29,819,1969
30,500,1962
31,514,1937
32,569,1970
33,529,1967
34,3,1942
35,1336,1963
36,613,1954
37,72466,1976
38,644,1967
39,722,1960
40,776,1961
41,854,1908
42,1229,1949
43,934,1964
44,953,1958
45,973,1966
46,1003,1948
47,380,1943
48,679,1974
49,521,1961
50,1100,1947
51,976,1967
52,1137,1964
53,1145,1961
54,1350,1966
55,1158,1940
56,1048070,1944
57,1205,1949
58,1244,1977
59,1269,1955
60,109,1981
61,16270,1953
62,622,1967
63,19587,1987
64,1461,1961
65,1511,1901
66,1532,1950
67,1547,1882
68,131,1980
69,1810,1979
70,2010,1880
71,2310,1941
72,1639,1967
73,1619,1955
74,1653,1944
75,1678,1967
76,1733,1941
77,1748,1931
78,3894,1974
79,1844,1963
80,1932,1929
81,1958,1936
82,2047,1946
83,2037,1976
84,2090,1916
85,1642,1960
86,2130,1962
87,2227,1967
88,2223,1976
89,2230,1949
90,56890,1943
91,2299,1978
92,2295,1952
93,738,1930
94,2387,1940
95,2405,1976
96,2461,1956
97,2491,1908
98,2565,1921
99,1896,1964
100,2157,1951
101,2638,1904
102,2144,1942
103,2726,1910
104,955,1974
105,2749,1931
106,3360,1917
107,2878,1966
108,2895,1884
109,2922,1887
110,2876,1964
111,3000,1884
112,3033,1972
113,3051,1972
114,3084,1924
115,3150,1925
116,57755,1961
117,3036,1966
118,3243,1890
119,3291,1960
120,3317,1947
121,3088,1916
122,3391,1954
123,723,1952
124,3460,1933
125,10222,1927
126,3489,1968
127,3542,1993
128,3609,1905
129,3635,1932
130,3783,1934
131,3810,1969
132,2232,1951
133,3829,1933
134,1038,1962
135,3910,1957
136,3872,1978
137,3967,1973
138,504,1958
139,1164,1939
140,5469,1962
141,3151,1925
142,4068,1901
143,4110,1899
144,1241,1957
145,4138,1960
146,287,1963
147,4347,1915
148,4165,1907
149,44079,1946
150,4111,1915
151,4420,1905
152,4455,1963
153,4587,1966
154,4592,1938
155,2224,1969
156,2228,1960
157,2231,1948
158,4783,1947
159,4785,1952
160,4756,1962
161,4779,1987
162,4959,1938
163,522,1925
164,1920,1971
165,4970,1896
166,7450,1920
167,10205,1949
168,1813,1982
169,5117,1961
170,5141,1964
171,2963,1964
172,5168,1950
173,4483,1937
174,920,1941
175,5292,1954
176,1936,1919
177,5411,1971
178,5344,1961
179,1233,1967
180,1271,1956
181,5367,1975
182,3392,1944
183,192,1937
184,5605,1920
185,5401,1915
186,1925,1966
187,5460,1916
188,5527,1991
189,5576,1959
190,5676,1924
191,3490,1973
192,3896,1952
193,15757,1957
194,5763,1907
195,5788,1899
196,5888,1970
197,5823,1935
198,6065,1954
199,5887,1981
200,5937,1970
201,5918,1980
202,56389,1976
203,6012,1950
204,6120,1961
205,6193,1974
206,231610,1975
207,6250,1938
208,1204,1967
209,6352,1937
